level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
163	163	1	99	6084	10494	1.0	20x	raw	a647	0	355.793	402.162	54.033	0.246	1.993	2.514	-1.0	0	2.67654690492937	0.246
165	165	1	111	5754	12212	1.0	20x	raw	a647	124	433.98800000000006	601.007	55.104	0.246	1.74	10.334	1.376	0	7.69914564522573	0.246
166	166	1	122	5016	7657	1.0	20x	raw	a647	83	538.8480000000002	334.9840000000001	53.987	0.246	2.5980000000000003	6.579	1.167	0	6.270861484541169	0.246
167	167	1	89	10436	20499	1.0	20x	raw	a647	0	401.064	180.009	52.059	0.246	2.095	4.208	-1.0	0	5.17275900844125	0.246
168	168	1	18	11165	21464	1.0	20x	raw	a647	0	85.039	53.967	53.797	0.245	1.85	6.655	-1.0	0	7.4778229029490495	0.245
169	169	1	76	5103	11637	1.0	20x	raw	a647	0	266.903	638.943	51.007	0.244	1.461	7.647	-1.0	0	7.352302952962741	0.244
300	300	1	120	15858	22102	1.0	20x	raw	a647	0	509.948	352.0490000000001	55.062	0.209	2.139	5.029	-1.0	0	5.362988526584191	0.209
172	172	1	22	6235	10654	1.0	20x	raw	a647	0	129.014	90.016	54.063	0.243	1.965	22.443	-1.0	0	10.780154721714801	0.243
173	173	1	59	4563	10818	1.0	20x	raw	a647	0	231.02	415.027	54.01600000000001	0.242	2.071	15.132	-1.0	0	6.0060491738338495	0.242
174	174	1	116	6376	11709	1.0	20x	raw	a647	0	424.816	177.108	54.997	0.242	2.04	5.194	-1.0	0	4.512588507508871	0.242
176	176	1	7	8570	15948	1.0	20x	raw	a647	69	78.009	250.984	53.89	0.241	4.462	3.799	1.315	0	3.6560526654773904	0.241
177	177	1	122	5016	7657	1.0	20x	raw	a647	83	519.911	339.2630000000001	52.024	0.241	2.074	3.329	1.167	0	3.66603645350627	0.241
